"Date of Prequalification ","Vaccine Type","Commercial Name",Presentation,"No. of doses",Manufacturer,"Responsible NRA"
16/01/2025,"Hepatitis B (Paediatric)",BEVAC®,Vial,1,"Biological E. Limited","Central Drugs Standard Control Organization"
20/01/2025,"Hepatitis B",BEVAC®,Vial,1,"Biological E. Limited","Central Drugs Standard Control Organization"
01/04/1998,"Haemophilus influenzae type b",Act-HIB,Vial,1,"Sanofi Pasteur","Agence nationale de sécurité du médicament et des produits de santé"
08/05/2017,"Diphtheria-Tetanus-Pertussis (acellular)",Adacel,Vial,1,"Sanofi Pasteur Limited","Health Canada - Santé Canada"
11/03/1999,Diphtheria-Tetanus,"Adsorbed DT Vaccine",Vial,10,"PT Bio Farma (Persero)","National Agency of Drug and Food Control Indonesia"
07/02/2020,"Influenza, seasonal (Trivalent)",Afluria®,Vial,10,"Seqirus Limited","US Food and Drug Administration- Office of Vaccine Research and Review"
05/03/2019,"Influenza, seasonal (Quadrivalent)","Afluria® Quadrivalent",Vial,10,"Seqirus Limited","US Food and Drug Administration- Office of Vaccine Research and Review"
14/02/2023,Varicella,"BARYCELA inj.",Vial,1,"GC Biopharma Corp.","Ministry of Food and Drug Safety"
01/01/1987,BCG,"BCG Freeze Dried Glutamate vaccine",Ampoule,10,"Japan BCG Laboratory","Pharmaceutical and Medical Devices Agency"
01/01/1987,BCG,"BCG Freeze Dried Glutamate vaccine",Ampoule,20,"Japan BCG Laboratory","Pharmaceutical and Medical Devices Agency"
29/05/2003,BCG,"BCG Vaccine",Vial,20,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
03/12/2024,BCG,"BCG Vaccine","Vial + Ampoule",20,"GreenSignal Bio Pharma Pvt Limited","Central Drugs Standard Control Organization"
01/02/1991,BCG,"BCG Vaccine",Ampoule,10,"BB- NCIPD Ltd. (Bul Bio-National Center of Infectious and Parasitic Diseases Ltd.)","Bulgarian Drug Agency"
01/02/1991,BCG,"BCG Vaccine",Ampoule,20,"BB- NCIPD Ltd. (Bul Bio-National Center of Infectious and Parasitic Diseases Ltd.)","Bulgarian Drug Agency"
27/09/1994,BCG,"BCG Vaccine AJV","Two vial set (active + excipient)",10,"AJ Vaccines A/S","Danish Medicines Agency"
16/01/2025,"Hepatitis B (Paediatric)",BEVAC®,Vial,10,"Biological E. Limited","Central Drugs Standard Control Organization"
16/01/2025,"Hepatitis B",BEVAC®,Vial,10,"Biological E. Limited","Central Drugs Standard Control Organization"
09/10/2023,Covid-19,BIMERVAX,Vial,1,"HIPRA HUMAN HEALTH, S.L.U","European Medicines Agency"
20/03/2015,"Polio Vaccine - Oral (OPV) Trivalent",BIOPOLIO,Vial,10,"Bharat Biotech International Limited","Central Drugs Standard Control Organization"
20/03/2015,"Polio Vaccine - Oral (OPV) Trivalent",BIOPOLIO,Vial,20,"Bharat Biotech International Limited","Central Drugs Standard Control Organization"
25/08/2017,"Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3","BIOPOLIO B1/3",Vial,10,"Bharat Biotech International Limited","Central Drugs Standard Control Organization"
20/03/2015,"Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3","BIOPOLIO B1/3",Vial,20,"Bharat Biotech International Limited","Central Drugs Standard Control Organization"
16/11/2021,"Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3","Bivalent OPV Type 1 and 3 Poliomyelitis Vaccine, Live (Oral)",Vial,10,"Panacea Biotec Ltd.","Central Drugs Standard Control Organization"
07/12/2018,"Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3","Bivalent OPV Type 1 and 3 Poliomyelitis Vaccine, Live (Oral)",Vial,20,"Panacea Biotec Ltd.","Central Drugs Standard Control Organization"
05/11/2015,"Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3","Bivalent Oral Poliomyelitis Vaccine Type 1&3 (bOPV 1&3)",Vial,10,"PT Bio Farma (Persero)","National Agency of Drug and Food Control Indonesia"
26/05/2010,"Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3","Bivalent Oral Poliomyelitis Vaccine Type 1&3 (bOPV 1&3)",Vial,20,"PT Bio Farma (Persero)","National Agency of Drug and Food Control Indonesia"
19/03/2010,"Polio Vaccine - Oral (OPV) Bivalent Types 1 and 3","Bivalent type 1&3 Oral Poliomyelitis vaccine, IP (bOPV1&3)",Vial,20,"Haffkine Bio Pharmaceutical Corporation Ltd","Central Drugs Standard Control Organization"
09/07/2013,"Diphtheria-Tetanus-Pertussis (acellular)",Boostrix,Vial,1,"GlaxoSmithKline Biologicals SA","Federal Agency for Medicines and Health Products"
14/10/2021,"Human Papillomavirus (Bivalent)",Cecolin®,Vial,1,"Xiamen Innovax Biotech Co. Ltd.","National Medical Products Administration"
17/12/2009,"Influenza, Pandemic (H1N1)",Celtura,Vial,17,"Seqirus GmbH",Paul-Ehrlich-Institut
08/07/2009,"Human Papillomavirus (Bivalent)",Cervarix,Vial,1,"GlaxoSmithKline Biologicals SA","Federal Agency for Medicines and Health Products"
08/07/2009,"Human Papillomavirus (Bivalent)",Cervarix,Vial,2,"GlaxoSmithKline Biologicals SA","Federal Agency for Medicines and Health Products"
09/10/2024,Covid-19,Comirnaty®,Vial,,"BioNTech Manufacturing GmbH","European Medicines Agency"
19/12/2023,Malaria,CYVAC,Vial,2,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
25/03/2020,"Dengue Tetravalent (live, attenuated)",Dengvaxia,"Two vial set (active + excipient)",5,"Sanofi Pasteur","Agence nationale de sécurité du médicament et des produits de santé"
09/05/2006,Diphtheria-Tetanus,Diftet,Vial,10,"BB- NCIPD Ltd. (Bul Bio-National Center of Infectious and Parasitic Diseases Ltd.)","Bulgarian Drug Agency"
09/05/2006,Diphtheria-Tetanus,Diftet,Vial,20,"BB- NCIPD Ltd. (Bul Bio-National Center of Infectious and Parasitic Diseases Ltd.)","Bulgarian Drug Agency"
04/04/1995,Diphtheria-Tetanus,"Diphtheria and Tetanus Vaccine Adsorbed (Paediatric)",Ampoule,1,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
04/04/1995,Diphtheria-Tetanus,"Diphtheria and Tetanus Vaccine Adsorbed (Pediatric)",Vial,10,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
04/04/1995,Diphtheria-Tetanus,"Diphtheria and Tetanus Vaccine Adsorbed (Pediatric)",Vial,20,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
04/04/1995,"Diphtheria-Tetanus (reduced antigen content)","Diphtheria and Tetanus Vaccine Adsorbed for Adults and Adolescents",Vial,10,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
04/04/1995,"Diphtheria-Tetanus (reduced antigen content)","Diphtheria and Tetanus Vaccine Adsorbed for Adults and Adolescents",Vial,20,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
04/04/1995,"Diphtheria-Tetanus (reduced antigen content)","Diphtheria and Tetanus Vaccine Adsorbed for Adults and Adolescents",Ampoule,1,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
04/04/1995,"Diphtheria-Tetanus-Pertussis (whole cell)","Diphtheria-Tetanus-Pertussis Vaccine Adsorbed",Vial,10,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
04/04/1995,"Diphtheria-Tetanus-Pertussis (whole cell)","Diphtheria-Tetanus-Pertussis Vaccine Adsorbed",Vial,20,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
04/04/1995,"Diphtheria-Tetanus-Pertussis (whole cell)","Diphtheria-Tetanus-Pertussis Vaccine Adsorbed",Ampoule,1,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
23/06/2010,"Diphtheria-Tetanus-Pertussis (whole cell)-Haemophilus influenzae type b","Diphtheria, Tetanus, Pertussis and Haemophilus influenzae type b Conjugate Vaccine","Vial + Ampoule",1,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
26/05/2010,"Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b","Diphtheria, Tetanus, Pertussis, Hepatitis B and Haemophilus influenzae type b Conjugate Vaccine","Vial + Ampoule",1,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
26/05/2010,"Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b","Diphtheria, Tetanus, Pertussis, Hepatitis B and Haemophilus influenzae type b Conjugate Vaccine","Vial + Ampoule",2,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
26/05/2010,"Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b","Diphtheria, Tetanus, Pertussis, Hepatitis B and Haemophilus influenzae type b Conjugate Vaccine","Vial + Ampoule",10,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
22/09/2010,"Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b","Diphtheria, Tetanus, Pertussis, Hepatitis B and Haemophilus influenzae type b Conjugate Vaccine Adsorbed",Vial,1,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
22/09/2010,"Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b","Diphtheria, Tetanus, Pertussis, Hepatitis B and Haemophilus influenzae type b Conjugate Vaccine Adsorbed",Vial,2,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
22/09/2010,"Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b","Diphtheria, Tetanus, Pertussis, Hepatitis B and Haemophilus influenzae type b Conjugate Vaccine Adsorbed",Vial,10,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
06/04/2001,"Diphtheria-Tetanus-Pertussis (whole cell)","DTP Vaccine",Vial,10,"PT Bio Farma (Persero)","National Agency of Drug and Food Control Indonesia"
25/10/2001,"cholera: inactivated oral",Dukoral,"Vial + Buffer Sachet",1,"Valneva Sweden AB","Medical Products Agency"
02/10/2013,"Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b",Easyfive-TT,Vial,1,"Panacea Biotec Ltd.","Central Drugs Standard Control Organization"
02/10/2013,"Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b",Easyfive-TT,Vial,10,"Panacea Biotec Ltd.","Central Drugs Standard Control Organization"
01/01/1987,"Hepatitis B",Engerix,Vial,1,"GlaxoSmithKline Biologicals SA","Federal Agency for Medicines and Health Products"
01/01/1987,"Hepatitis B",Engerix,Vial,10,"GlaxoSmithKline Biologicals SA","Federal Agency for Medicines and Health Products"
01/01/1987,"Hepatitis B",Engerix,Vial,20,"GlaxoSmithKline Biologicals SA","Federal Agency for Medicines and Health Products"
12/11/2019,"Ebola Zaire (rVSV∆G-ZEBOV-GP, live attenuated)",ERVEBO,Vial,1,"Merck Sharp & Dohme LLC","European Medicines Agency"
10/02/2016,"Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b",Eupenta,Vial,1,"LG Chem Ltd","Ministry of Food and Drug Safety"
10/02/2016,"Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b",Eupenta,Vial,10,"LG Chem Ltd","Ministry of Food and Drug Safety"
01/06/2021,"Polio Vaccine - Inactivated Sabin (sIPV)","Eupolio Inj.",Vial,1,"LG Chem Ltd","Ministry of Food and Drug Safety"
21/12/2020,"Polio Vaccine - Inactivated Sabin (sIPV)","Eupolio Inj.",Vial,5,"LG Chem Ltd","Ministry of Food and Drug Safety"
21/01/2020,"Hepatitis B (Paediatric)","Euvax B",Vial,1,"LG Chem Ltd","Ministry of Food and Drug Safety"
22/11/1996,"Hepatitis B","Euvax B",Vial,1,"LG Chem Ltd","Ministry of Food and Drug Safety"
22/11/1996,"Hepatitis B","Euvax B",Vial,10,"LG Chem Ltd","Ministry of Food and Drug Safety"
23/12/2015,"cholera: inactivated oral",Euvichol,Vial,1,"EuBiologics Co., Ltd.","Ministry of Food and Drug Safety"
11/08/2017,"cholera: inactivated oral",Euvichol-Plus,"Plastic Tube",1,"EuBiologics Co., Ltd.","Ministry of Food and Drug Safety"
12/04/2024,"cholera: inactivated oral",Euvichol®-S,"Plastic Tube",1,"EuBiologics Co., Ltd.","Ministry of Food and Drug Safety"
09/01/2025,"Influenza, seasonal (Trivalent)",FLU-M®,Vial,10,"Saint Petersburg Scientific Research Institute of Vaccines and Serums of the FMBA of Russia","Centro para el Control Estatal de la Calidad de los Medicamentos"
04/11/2015,"Influenza, seasonal (Quadrivalent)","Fluzone Quadrivalent (labelled as FluQuadri in other markets)",Vial,1,"Sanofi Pasteur Inc.","US Food and Drug Administration- Office of Vaccine Research and Review"
04/11/2015,"Influenza, seasonal (Quadrivalent)","Fluzone Quadrivalent (labelled as FluQuadri in other markets)",Vial,10,"Sanofi Pasteur Inc.","US Food and Drug Administration- Office of Vaccine Research and Review"
09/07/2024,"Influenza, seasonal (Trivalent)","Fluzone® (Fluprevli™ in other markets)",Vial,10,"Sanofi Pasteur Inc.","US Food and Drug Administration- Office of Vaccine Research and Review"
16/12/2009,"Influenza, Pandemic (H1N1)",Focetria,Vial,10,"Seqirus Vaccines Limited",CBER/FDA
09/02/2018,"Human Papillomavirus (Ninevalent)","Gardasil 9",Vial,1,"Merck Sharp & Dohme LLC","European Medicines Agency"
20/05/2009,"Human Papillomavirus (Quadrivalent)",Gardasil,Vial,1,"Merck Sharp & Dohme LLC","European Medicines Agency"
12/04/2011,"Influenza, seasonal (Trivalent)","GC FLU  inj",Vial,1,"GC Biopharma Corp.","Ministry of Food and Drug Safety"
07/11/2012,"Influenza, seasonal (Trivalent)","GC FLU Multi inj.",Vial,10,"GC Biopharma Corp.","Ministry of Food and Drug Safety"
21/12/2016,"Influenza, seasonal (Quadrivalent)","GC FLU Quadrivalent inj.",Vial,1,"GC Biopharma Corp.","Ministry of Food and Drug Safety"
03/04/2017,"Influenza, seasonal (Quadrivalent)","GC FLU Quadrivalent Multi inj.",Vial,10,"GC Biopharma Corp.","Ministry of Food and Drug Safety"
11/05/2010,"Influenza, Pandemic (H1N1)","Green Flu-S",Vial,1,"GC Biopharma Corp.","Ministry of Food and Drug Safety"
17/11/2008,"Haemophilus influenzae type b","Haemophilus influenzae type b Conjugate Vaccine",Vial,1,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
19/07/2013,"Hepatitis A (Human Diploid Cell), Inactivated (Adult)","Havrix 1440 Adult",Vial,1,"GlaxoSmithKline Biologicals SA","Federal Agency for Medicines and Health Products"
19/07/2013,"Hepatitis A (Human Diploid Cell), Inactivated (Paediatric)","Havrix 720 Junior",Vial,1,"GlaxoSmithKline Biologicals SA","Federal Agency for Medicines and Health Products"
22/12/2017,"Hepatitis A (Human Diploid Cell), Inactivated (Paediatric)",HEALIVE,Vial,1,"Sinovac Biotech Co. Ltd","National Medical Products Administration"
22/12/2017,"Hepatitis A (Human Diploid Cell), Inactivated (Adult)",HEALIVE,Vial,1,"Sinovac Biotech Co. Ltd","National Medical Products Administration"
11/12/2001,"Hepatitis B","Heberbiovac HB",Vial,1,"Centro de Ingenieria Genetica y Biotecnologia","Centro para el Control Estatal de la Calidad de los Medicamentos"
11/12/2001,"Hepatitis B","Heberbiovac HB",Vial,10,"Centro de Ingenieria Genetica y Biotecnologia","Centro para el Control Estatal de la Calidad de los Medicamentos"
12/11/2004,"Hepatitis B","Hepatitis B Vaccine (rDNA) (Adult)",Vial,10,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
12/11/2004,"Hepatitis B","Hepatitis B Vaccine (rDNA) (Adult)","Ampoule or Vial",1,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
12/11/2004,"Hepatitis B","Hepatitis B Vaccine (rDNA) (Paediatric)",Vial,10,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
12/11/2004,"Hepatitis B","Hepatitis B Vaccine (rDNA) (Paedriatic)","Ampoule or Vial",1,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
21/03/2024,"Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b-Polio (Inactivated)",HEXASIIL,Vial,1,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
21/03/2024,"Diphtheria-Tetanus-Pertussis (whole cell)-Hepatitis B-Haemophilus influenzae type b-Polio (Inactivated)",HEXASIIL,Vial,10,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
19/12/2014,"Diphtheria-Tetanus-Pertussis (acellular)-Hepatitis B-Haemophilus influenzae type b-Polio (Inactivated)",Hexaxim,Vial,1,"Sanofi Pasteur","European Medicines Agency"
25/05/2018,"Influenza, seasonal (Trivalent)","IL-YANG FLU Vaccine INJ.",Vial,1,"IL-YANG PHARMACEUTICAL CO., LTD.","Ministry of Food and Drug Safety"
18/09/2014,"Japanese Encephalitis Vaccine (live, attenuated)","IMOJEV MD","Two vial set (active + excipient)",4,"Global Biotech Products Co., Ltd","Thai Food and Drug Administration"
22/07/1997,"Diphtheria-Tetanus (reduced antigen content)","IMOVAX dT adult",Vial,10,"Sanofi Pasteur","Agence nationale de sécurité du médicament et des produits de santé"
09/12/2005,"Polio Vaccine - Inactivated (IPV)","IMOVAX POLIO",Vial,10,"Sanofi Pasteur","Agence nationale de sécurité du médicament et des produits de santé"
13/09/2024,"Smallpox and Mpox vaccine (Live Modified Vaccinia Virus Ankara)","Imvanex® (also approved under the name of JYNNEOS by the USFDA and IMVAMUNE by Health Canada)",Vial,1,"Bavarian Nordic A/S","European Medicines Agency"
28/01/2010,"Influenza, Pandemic (H1N1)","Influenza A (H1N1) 2009 monovalent vaccine",Vial,1,"Sanofi Pasteur Inc.",CBER/FDA
28/01/2010,"Influenza, Pandemic (H1N1)","Influenza A (H1N1) 2009 monovalent vaccine",Vial,10,"Sanofi Pasteur Inc.",CBER/FDA
25/02/2010,"Influenza, Pandemic (H1N1)","Influenza A (H1N1) 2009 monovalent vaccine",Sprayer,1,MedImmune,CBER/FDA
26/04/2021,"Influenza, seasonal (Trivalent)","influenza trivalent vaccine (split virion, inactivated)",Vial,10,"Instituto Butantan","Agencia Nacional da Vigilancia Sanitaria"
09/06/2015,"Influenza, seasonal (Trivalent)","Influenza Vaccine (Split virion, inactivated)",Vial,1,"Hualan Biological Bacterin Inc.","National Medical Products Administration"
20/10/2023,"Influenza, seasonal (Trivalent)","Influenza Vaccine (Split Virion), Inactivated",Vial,1,"Changchun Institute of Biological Products Co., Ltd","National Medical Products Administration"
19/02/2024,"Influenza, seasonal (Quadrivalent)","Influvac® Tetra",Vial,1,"Abbott Biologicals BV","Medicines Evaluation Board (MEB)"
23/12/2010,"Polio Vaccine - Inactivated (IPV)","IPV Vaccine AJV",Vial,1,"AJ Vaccines A/S","Danish Medicines Agency"
08/10/2013,"Japanese Encephalitis Vaccine (live, attenuated)","Japanese Encephalitis Vaccine Live (SA14-14-2)","Two vial set (active + excipient)",1,"Chengdu Institute of Biological Products Co.,Ltd","National Medical Products Administration"
08/10/2013,"Japanese Encephalitis Vaccine (live, attenuated)","Japanese Encephalitis Vaccine Live (SA14-14-2)","Two vial set (active + excipient)",5,"Chengdu Institute of Biological Products Co.,Ltd","National Medical Products Administration"
03/08/2016,"Japanese Encephalitis Vaccine (Inactivated) (3µg Pediatric)","JEEV® (3µg)",Vial,1,"Biological E. Limited","Central Drugs Standard Control Organization"
02/10/2018,"Japanese Encephalitis Vaccine (Inactivated) (3µg Pediatric)","JEEV® (3µg)",Vial,5,"Biological E. Limited","Central Drugs Standard Control Organization"
12/07/2013,"Japanese Encephalitis Vaccine (Inactivated) 6µg","JEEV® (6µg)",Vial,1,"Biological E. Limited","Central Drugs Standard Control Organization"
02/10/2018,"Japanese Encephalitis Vaccine (Inactivated) 6µg","JEEV® (6µg)",Vial,5,"Biological E. Limited","Central Drugs Standard Control Organization"
24/09/2019,"Measles and Rubella","Measles and Rubella Vaccine (Live) (Attenuated, Freeze Dried)","Vial + Ampoule",1,"Biological E. Limited","Central Drugs Standard Control Organization"
24/09/2019,"Measles and Rubella","Measles and Rubella Vaccine (Live) (Attenuated, Freeze Dried)","Vial + Ampoule",5,"Biological E. Limited","Central Drugs Standard Control Organization"
24/09/2019,"Measles and Rubella","Measles and Rubella Vaccine (Live) (Attenuated, Freeze Dried)","Vial + Ampoule",10,"Biological E. Limited","Central Drugs Standard Control Organization"
18/07/2000,"Measles and Rubella","Measles and Rubella Vaccine, Live, Attenuated",Vial,1,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
18/07/2000,"Measles and Rubella","Measles and Rubella Vaccine, Live, Attenuated",Vial,2,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
18/07/2000,"Measles and Rubella","Measles and Rubella Vaccine, Live, Attenuated",Vial,5,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
18/07/2000,"Measles and Rubella","Measles and Rubella Vaccine, Live, Attenuated",Vial,10,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
04/09/2006,Measles,"Measles vaccine",Vial,20,"PT Bio Farma (Persero)","National Agency of Drug and Food Control Indonesia"
09/04/1997,Measles,"Measles vaccine","Vial + Ampoule",10,"PT Bio Farma (Persero)","National Agency of Drug and Food Control Indonesia"
15/02/1993,Measles,"Measles Vaccine, Live, Attenuated",Vial,1,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
15/02/1993,Measles,"Measles Vaccine, Live, Attenuated",Vial,2,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
15/02/1993,Measles,"Measles Vaccine, Live, Attenuated",Vial,5,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
15/02/1993,Measles,"Measles Vaccine, Live, Attenuated",Vial,10,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
08/08/2003,"Measles, Mumps and Rubella","Measles, Mumps and Rubella Vaccine, Live, Attenuated",Vial,1,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
08/08/2003,"Measles, Mumps and Rubella","Measles, Mumps and Rubella Vaccine, Live, Attenuated",Vial,2,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
08/08/2003,"Measles, Mumps and Rubella","Measles, Mumps and Rubella Vaccine, Live, Attenuated",Vial,5,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
08/08/2003,"Measles, Mumps and Rubella","Measles, Mumps and Rubella Vaccine, Live, Attenuated",Vial,10,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
21/03/2014,"Meningococcal ACYW-135 (conjugate vaccine)",Menactra,Vial,1,"Sanofi Pasteur Inc.",CBER/FDA
06/07/2023,"Menigococcal ACYWX (Polysaccharide conjugate)",MenFive™,"Vial + Ampoule",1,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
06/07/2023,"Menigococcal ACYWX (Polysaccharide conjugate)",MenFive™,"Vial + Ampoule",5,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
30/12/2014,"Meningococcal A Conjugate 5 µg","Meningococcal A Conjugate 5 micrograms MenAfriVac 5µg","Vial + Ampoule",10,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
23/06/2010,"Meningococcal A Conjugate 10 µg","Meningococcal A Conjugate MenAfriVac","Vial + Ampoule",10,"Serum Institute of India Pvt. Ltd.","Central Drugs Standard Control Organization"
28/01/2022,"Meningococcal ACYW-135 Tetanus Toxoid (conjugate vaccine)",MenQuadfi,Vial,1,"Sanofi Pasteur Inc.","European Medicines Agency"
